Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Reshape the Matrix,reshape-the-matrix,566,"In MATLAB, there is a handy function called reshape which can reshape an m x n matrix into a new one with a different size r x c keeping its original data. You are given an m x n matrix mat and two integers r and c representing the number of rows and the number of columns of the wanted reshaped matrix. The reshaped matrix should be filled with all the elements of the original matrix in the same row-traversing order as they were. If the reshape operation with given parameters is possible and legal, output the new reshaped matrix; Otherwise, output the original matrix. ","Array,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Easy,62.4,365645,228101,,2155,243,"Do you know how 2d matrix is stored in 1d memory? Try to map 2-dimensions into one. M[i][j]=M[n*i+j] , where n is the number of cols. 
This is the one way of converting 2-d indices into one 1-d index.  
Now, how will you convert 1-d index into 2-d indices? Try to use division and modulus to convert 1-d index into 2-d indices. M[i] =>  M[i/n][i%n] Will it result in right mapping? Take some example and check this formula.",2132,Convert 1D Array Into 2D Array
Permutation in String,permutation-in-string,567,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. In other words, return true if one of s1's permutations is the substring of s2. ","Hash Table,Two Pointers,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",Medium,44.8,824372,369629,,5663,164,"Obviously, brute force will result in TLE. Think of something else. How will you check whether one string is a permutation of another string? One way is to sort the string and then compare. But, Is there a better way? If one string is a permutation of another string then they must one common metric. What is that? Both strings must have same character frequencies, if  one is permutation of another. Which data structure should be used to store frequencies? What about hash table?  An array of size 26?","76,438","Minimum Window Substring,Find All Anagrams in a String"
Maximum Vacation Days,maximum-vacation-days,568,,"Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Hard,44.3,75981,33686,,502,92,First try to understand the problem carefully and then take some example and solve it on a paper. Can you interpret the given input as a graph? Which graph traversal technique is suitable here? Can we use some space to avoid redundant function calls?,803,Cheapest Flights Within K Stops
Median Employee Salary,median-employee-salary,569,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,66.6,40172,26766,,228,124,"Still remember how to select the sum which group by one column? Try to think about how to get the median from a sorted list. How to get the median one item for odd number list while how to get the median two items for even number list, try to unify them.",571,Find Median Given Frequency of Numbers
Managers with at Least 5 Direct Reports,managers-with-at-least-5-direct-reports,570,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,66.9,85217,57047,,218,31,"Try to get all the mangerIDs that have count bigger than 5 Use the last hint's result as a table and do join with origin table at id equals to managerId This is a very good example to show the performance of SQL code. Try to work out other solutions and you may be surprised by running time difference. If your solution uses 'IN' function and runs more than 5 seconds, try to optimize it by using 'JOIN' instead.",,
Find Median Given Frequency of Numbers,find-median-given-frequency-of-numbers,571,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,44.5,41801,18601,,221,63,,569,Median Employee Salary
Subtree of Another Tree,subtree-of-another-tree,572,"Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise. A subtree of a binary tree tree is a tree that consists of a node in tree and all of this node's descendants. The tree tree could also be considered as a subtree of itself. ","Tree,Depth-First Search,String Matching,Binary Tree,Hash Function","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDUy,VG9waWNUYWdOb2RlOjYxMDU3,VG9waWNUYWdOb2RlOjYxMDY1",Easy,45.3,996628,451495,,5105,265,"Which approach is better here- recursive or iterative? If recursive approach is better, can you write recursive function with its parameters? Two trees s and t are said to be identical if their root values are same and their left and right subtrees are identical. Can you write this in form of recursive formulae? Recursive formulae can be: 
isIdentical(s,t)= s.val==t.val AND isIdentical(s.left,t.left) AND isIdentical(s.right,t.right)","250,508","Count Univalue Subtrees,Most Frequent Subtree Sum"
Squirrel Simulation,squirrel-simulation,573,,"Array,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=",Medium,54.6,30992,16937,,306,33,"Will Brute force solution works here? What will be its complexity? Brute force definitely won't work here. Think of some simple solution. Take some example and make some observations. Will order of nuts traversed by squirrel is important or only first nut traversed by squirrel is important? Are there some paths which squirrel have to cover in any case? If yes, what are they? Did you notice only first nut traversed by squirrel matters? Obviously squirrel will choose first nut which will result in minimum distance.",,
Winning Candidate,winning-candidate,574,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,58.2,78268,45527,,127,381,,,
Distribute Candies,distribute-candies,575,"Alice has n candies, where the ith candy is of type candyType[i]. Alice noticed that she started to gain weight, so she visited a doctor. The doctor advised Alice to only eat n / 2 of the candies she has (n is always even). Alice likes her candies very much, and she wants to eat the maximum number of different types of candies while still following the doctor's advice. Given the integer array candyType of length n, return the maximum number of different types of candies she can eat if she only eats n / 2 of them. ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Easy,65.6,308181,202137,,936,1147,"To maximize the number of kinds of candies, we should try to distribute candies such that sister will gain all kinds. What is the upper limit of the number of kinds of candies sister will gain? Remember candies are to distributed equally. Which data structure is the most suitable for finding the number of kinds of candies? Will hashset solves the problem? Inserting all candies kind in the hashset and then checking its size with upper limit.",,
Out of Boundary Paths,out-of-boundary-paths,576,"There is an m x n grid with a ball. The ball is initially at the position [startRow, startColumn]. You are allowed to move the ball to one of the four adjacent cells in the grid (possibly out of the grid crossing the grid boundary). You can apply at most maxMove moves to the ball. Given the five integers m, n, maxMove, startRow, startColumn, return the number of paths to move the ball out of the grid boundary. Since the answer can be very large, return it modulo 109 + 7. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Medium,40.1,157850,63268,,1475,182,"Is traversing every path feasible? There are many possible paths for a small matrix. Try to optimize it. Can we use some space to store the number of paths and update them after every move? One obvious thing: the ball will go out of the boundary only by crossing it. Also, there is only one possible way the ball can go out of the boundary from the boundary cell except for corner cells. From the corner cell, the ball can go out in two different ways.

Can you use this thing to solve the problem?","688,2239","Knight Probability in Chessboard,Execution of All Suffix Instructions Staying in a Grid"
Employee Bonus,employee-bonus,577,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,74.7,77789,58105,,159,89,"If the EmpId in table Employee has no match in table Bonus, we consider that the corresponding bonus is null and null is smaller than 1000. Inner join is the default join, we can solve the mismatching problem by using outer join.",175,Combine Two Tables
Get Highest Answer Rate Question,get-highest-answer-rate-question,578,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,42.9,92016,39469,,86,809,Try to find all question ids by group Try to find each group answer number and show number. Rank all the rates (answer/(answer+show)) and return the max one,,
Find Cumulative Salary of an Employee,find-cumulative-salary-of-an-employee,579,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,42.8,59875,25635,,173,375,"Seem hard at first glance? Try to divide this problem into some sub-problems. 
Think about how to calculate the cumulative sum of one employee, how to get the cumulative sum for many employees, and how to except the most recent month of the result. Use the technique of self-join if you have only one table but to write a complex query. Still remember how to use the function `sum` and `max`?",,
Count Student Number in Departments,count-student-number-in-departments,580,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,56.5,77484,43811,,184,30,Still remember the difference between 'INNER JOIN' and 'OUTTER JOIN' in SQL? Do you know other expressions using the 'COUNT' function besides 'COUNT(*)'?,,
Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,581,"Given an integer array nums, you need to find one continuous subarray that if you only sort this subarray in ascending order, then the whole array will be sorted in ascending order. Return the shortest such subarray and output its length. ","Array,Two Pointers,Stack,Greedy,Sorting,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDU0",Medium,34.2,631258,215582,,4950,201,,,
Kill Process,kill-process,582,,"Array,Hash Table,Tree,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,66.9,97653,65300,,886,17,,,
Delete Operation for Two Strings,delete-operation-for-two-strings,583,"Given two strings word1 and word2, return the minimum number of steps required to make word1 and word2 the same. In one step, you can delete exactly one character in either string. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,55.7,203295,113212,,2708,45,,"72,712,1250","Edit Distance,Minimum ASCII Delete Sum for Two Strings,Longest Common Subsequence"
Find Customer Referee,find-customer-referee,584,Table: Customer  Write an SQL query to report the IDs of the customer that are not referred by the customer with id = 2. Return the result table in any order. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,77.0,78389,60330,,198,113,Be careful of the NULL value,,
Investments in 2016,investments-in-2016,585,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,55.0,58357,32099,,192,200,"Make the (LAT, LON) a pair to represent the location information",,
Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,586,Table: Orders  Write an SQL query to find the customer_number for the customer who has placed the largest number of orders. The test cases are generated so that exactly one customer will have placed more orders than any other customer. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,74.3,92168,68512,,235,21,MySQL uses a different expression to get the first records other than MSSQL's TOP expression.,,
Erect the Fence,erect-the-fence,587,"You are given an array trees where trees[i] = [xi, yi] represents the location of a tree in the garden. You are asked to fence the entire garden using the minimum length of rope as it is expensive. The garden is well fenced only if all the trees are enclosed. Return the coordinates of trees that are exactly located on the fence perimeter. ","Array,Math,Geometry","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4",Hard,43.2,55809,24131,,550,344,,2074,Erect the Fence II
Design In-Memory File System,design-in-memory-file-system,588,,"Hash Table,String,Design,Trie","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3",Hard,48.3,130148,62873,,1042,123,,"146,460,635","LRU Cache,LFU Cache,Design Log Storage System"
N-ary Tree Preorder Traversal,n-ary-tree-preorder-traversal,775,"Given the root of an n-ary tree, return the preorder traversal of its nodes' values. Nary-Tree input serialization is represented in their level order traversal. Each group of children is separated by the null value (See examples) ","Stack,Tree,Depth-First Search","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx",Easy,76.1,295173,224480,,1708,80,,"144,764,776","Binary Tree Preorder Traversal,N-ary Tree Level Order Traversal,N-ary Tree Postorder Traversal"
N-ary Tree Postorder Traversal,n-ary-tree-postorder-traversal,776,"Given the root of an n-ary tree, return the postorder traversal of its nodes' values. Nary-Tree input serialization is represented in their level order traversal. Each group of children is separated by the null value (See examples) ","Stack,Tree,Depth-First Search","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx",Easy,76.1,234316,178336,,1553,82,,"145,764,775","Binary Tree Postorder Traversal,N-ary Tree Level Order Traversal,N-ary Tree Preorder Traversal"
Tag Validator,tag-validator,591,"Given a string representing a code snippet, implement a tag validator to parse the code and return whether it is valid. A code snippet is valid if all the following rules hold: ","String,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1",Hard,36.4,30498,11096,,130,560,,616,Add Bold Tag in String
Fraction Addition and Subtraction,fraction-addition-and-subtraction,592,"Given a string expression representing an expression of fraction addition and subtraction, return the calculation result in string format. The final result should be an irreducible fraction. If your final result is an integer, change it to the format of a fraction that has a denominator 1. So in this case, 2 should be converted to 2/1. ","Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Medium,51.7,55560,28714,,303,435,,640,Solve the Equation
Valid Square,valid-square,593,"Given the coordinates of four points in 2D space p1, p2, p3 and p4, return true if the four points construct a square. The coordinate of a point pi is represented as [xi, yi]. The input is not given in any order. A valid square has four equal sides with positive length and four equal angles (90-degree angles). ","Math,Geometry","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4",Medium,43.8,186845,81890,,674,739,,,
Longest Harmonious Subsequence,longest-harmonious-subsequence,594,"We define a harmonious array as an array where the difference between its maximum value and its minimum value is exactly 1. Given an integer array nums, return the length of its longest harmonious subsequence among all its possible subsequences. A subsequence of array is a sequence that can be derived from the array by deleting some or no elements without changing the order of the remaining elements. ","Array,Hash Table,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,52.6,217843,114669,,1522,151,,,
Big Countries,big-countries,595,"Table: World  A country is big if: Write an SQL query to report the name, population, and area of the big countries. Return the result table in any order. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,77.3,355541,274906,,778,896,,,
Classes More Than 5 Students,classes-more-than-5-students,596,Table: Courses  Write an SQL query to report all the classes that have at least five students. Return the result table in any order. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,42.4,369293,156624,,429,907,,,
Friend Requests I: Overall Acceptance Rate,friend-requests-i-overall-acceptance-rate,597,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,42.6,133759,57020,,235,581,Still remember how to count the number of rows in a table? What is the keyword to filter the duplicated records in a table?,,
Range Addition II,range-addition-ii,598,"You are given an m x n matrix M initialized with all 0's and an array of operations ops, where ops[i] = [ai, bi] means M[x][y] should be incremented by one for all 0 <= x < ai and 0 <= y < bi. Count and return the number of maximum integers in the matrix after performing all the operations. ","Array,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=",Easy,54.7,141345,77261,,649,803,,370,Range Addition
Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,599,"Suppose Andy and Doris want to choose a restaurant for dinner, and they both have a list of favorite restaurants represented by strings. You need to help them find out their common interest with the least list index sum. If there is a choice tie between answers, output all of them with no order requirement. You could assume there always exists an answer. ","Array,Hash Table,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Easy,52.8,279803,147774,,1170,318,,160,Intersection of Two Linked Lists
Non-negative Integers without Consecutive Ones,non-negative-integers-without-consecutive-ones,600,"Given a positive integer n, return the number of the integers in the range [0, n] whose binary representations do not contain consecutive ones. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Hard,38.8,78458,30430,,1055,114,,"198,213,474","House Robber,House Robber II,Ones and Zeroes"
Human Traffic of Stadium,human-traffic-of-stadium,601,"Table: Stadium  Write an SQL query to display the records with three or more rows with consecutive id's, and the number of people is greater than or equal to 100 for each. Return the result table ordered by visit_date in ascending order. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,49.5,122010,60401,,338,480,,,
Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,602,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,60.7,79962,48563,,248,73,"Being friends is bidirectional. If you accept someone's adding friend request, both you and the other person will have one more friend.",,
Consecutive Available Seats,consecutive-available-seats,603,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,67.8,80558,54624,,456,40,,,
Design Compressed String Iterator,design-compressed-string-iterator,604,,"Array,Hash Table,String,Design,Iterator","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDY0",Easy,39.1,66766,26081,,358,124,,"146,443","LRU Cache,String Compression"
Can Place Flowers,can-place-flowers,605,"You have a long flowerbed in which some of the plots are planted, and some are not. However, flowers cannot be planted in adjacent plots. Given an integer array flowerbed containing 0's and 1's, where 0 means empty and 1 means not empty, and an integer n, return if n new flowers can be planted in the flowerbed without violating the no-adjacent-flowers rule. ","Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",Easy,33.1,874930,289310,,2857,641,,"495,735","Teemo Attacking,Asteroid Collision"
Construct String from Binary Tree,construct-string-from-binary-tree,606,"Given the root of a binary tree, construct a string consisting of parenthesis and integers from a binary tree with the preorder traversal way, and return it. Omit all the empty parenthesis pairs that do not affect the one-to-one mapping relationship between the string and the original binary tree. ","String,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Easy,57.6,220994,127369,,1343,1714,,"536,652","Construct Binary Tree from String,Find Duplicate Subtrees"
Sales Person,sales-person,607,"Table: SalesPerson  Table: Company  Table: Orders  Write an SQL query to report the names of all the salespersons who did not have any orders related to the company with the name ""RED"". Return the result table in any order. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,68.6,76777,52667,,268,48,"You need to query who sold to company 'RED' first, then output the sales person who is not in the first query result.",,
Tree Node,tree-node,608,Table: Tree  Each node in the tree can be one of three types: Write an SQL query to report the type of each node in the tree. Return the result table ordered by id in ascending order. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,72.0,62167,44777,,364,32,You can judge the node type by querying whether the node's id shows up in p_id column and whether the node's p_id is null.,,
Find Duplicate File in System,find-duplicate-file-in-system,609,"Given a list paths of directory info, including the directory path, and all the files with contents in this directory, return all the duplicate files in the file system in terms of their paths. You may return the answer in any order. A group of duplicate files consists of at least two files that have the same content. A single directory info string in the input list has the following format: It means there are n files (f1.txt, f2.txt ... fn.txt) with content (f1_content, f2_content ... fn_content) respectively in the directory ""root/d1/d2/.../dm"". Note that n >= 1 and m >= 0. If m = 0, it means the directory is just the root directory. The output is a list of groups of duplicate file paths. For each group, it contains all the file paths of the files that have the same content. A file path is a string that has the following format: ","Array,Hash Table,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Medium,63.8,148776,94858,,808,916,,2079,Delete Duplicate Folders in System
Triangle Judgement,triangle-judgement,610,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,70.8,69971,49574,,211,50,,,
