Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Rotating the Box,rotating-the-box,1972,"You are given an m x n matrix of characters box representing a side-view of a box. Each cell of the box is one of the following: The box is rotated 90 degrees clockwise, causing some of the stones to fall due to gravity. Each stone falls down until it lands on an obstacle, another stone, or the bottom of the box. Gravity does not affect the obstacles' positions, and the inertia from the box's rotation does not affect the stones' horizontal positions. It is guaranteed that each stone in box rests on an obstacle, another stone, or the bottom of the box. Return an n x m matrix representing the box after the rotation described above. ","Array,Two Pointers,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDUz",Medium,64.5,39853,25686,,550,34,Rotate the box using the relation rotatedBox[i][j] = box[m - 1 - j][i]. Start iterating from the bottom of the box and for each empty cell check if there is any stone above it with no obstacles between them.,,
Sum of Floored Pairs,sum-of-floored-pairs,1326,"Given an integer array nums, return the sum of floor(nums[i] / nums[j]) for all pairs of indices 0 <= i, j < nums.length in the array. Since the answer may be too large, return it modulo 109 + 7. The floor() function returns the integer part of the division. ","Array,Math,Binary Search,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDY4",Hard,27.9,20976,5862,,287,24,"Find the frequency (number of occurrences) of all elements in the array. For each element, iterate through its multiples and multiply frequencies to find the answer.",,
Sum of All Subset XOR Totals,sum-of-all-subset-xor-totals,1993,"The XOR total of an array is defined as the bitwise XOR of all its elements, or 0 if the array is empty. Given an array nums, return the sum of all XOR totals for every subset of nums. Note: Subsets with the same elements should be counted multiple times. An array a is a subset of an array b if a can be obtained from b by deleting some (possibly zero) elements of b. ","Array,Math,Backtracking,Bit Manipulation,Combinatorics","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDU2",Easy,78.6,40678,31989,,732,79,Is there a way to iterate through all the subsets of the array? Can we use recursion to efficiently iterate through all the subsets?,,
Minimum Number of Swaps to Make the Binary String Alternating,minimum-number-of-swaps-to-make-the-binary-string-alternating,1994,"Given a binary string s, return the minimum number of character swaps to make it alternating, or -1 if it is impossible. The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not. Any two characters may be swapped, even if they are not adjacent. ","String,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,38.8,33785,13095,,298,22,Think about all valid strings of length n. Try to count the mismatched positions with each valid string of length n.,,
Finding Pairs With a Certain Sum,finding-pairs-with-a-certain-sum,1995,You are given two integer arrays nums1 and nums2. You are tasked to implement a data structure that supports queries of two types: Implement the FindSumPairs class: ,"Array,Hash Table,Design","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1",Medium,49.2,30532,15037,,302,75,The length of nums1 is small in comparison to that of nums2 If we iterate over elements of nums1 we just need to find the count of tot - element for all elements in nums1,2116,Count Number of Pairs With Absolute Difference K
Number of Ways to Rearrange Sticks With K Sticks Visible,number-of-ways-to-rearrange-sticks-with-k-sticks-visible,1996,"There are n uniquely-sized sticks whose lengths are integers from 1 to n. You want to arrange the sticks such that exactly k sticks are visible from the left. A stick is visible from the left if there are no longer sticks to the left of it. Given n and k, return the number of such arrangements. Since the answer may be large, return it modulo 109 + 7. ","Math,Dynamic Programming,Combinatorics","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDU2",Hard,55.3,14390,7953,,437,10,Is there a way to build the solution from a base case? How many ways are there if we fix the position of one stick?,,
Orders With Maximum Quantity Above Average,orders-with-maximum-quantity-above-average,2014,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,76.1,8640,6579,,31,117,,,
Product of Two Run-Length Encoded Arrays,product-of-two-run-length-encoded-arrays,2019,,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=",Medium,58.2,32535,18945,,218,34,Keep track of the indices on both RLE arrays and join the parts together. What is the maximum number of segments if we took the minimum number of elements left on both the current segments every time?,,
Longer Contiguous Segments of Ones than Zeros,longer-contiguous-segments-of-ones-than-zeros,1999,"Given a binary string s, return true if the longest contiguous segment of 1's is strictly longer than the longest contiguous segment of 0's in s, or return false otherwise. Note that if there are no 0's, then the longest continuous segment of 0's is considered to have a length 0. The same applies if there is no 1's. ",String,VG9waWNUYWdOb2RlOjEw,Easy,60.3,46660,28113,,281,6,Check every possible segment of 0s and 1s. Is there a way to iterate through the string to keep track of the current character and its count?,"485,510,1910","Max Consecutive Ones,Count Subarrays With More Ones Than Zeros,Check if Binary String Has at Most One Segment of Ones"
Minimum Speed to Arrive on Time,minimum-speed-to-arrive-on-time,2000,"You are given a floating-point number hour, representing the amount of time you have to reach the office. To commute to the office, you must take n trains in sequential order. You are also given an integer array dist of length n, where dist[i] describes the distance (in kilometers) of the ith train ride. Each train can only depart at an integer hour, so you may need to wait in between each train ride. Return the minimum positive integer speed (in kilometers per hour) that all the trains must travel at for you to reach the office on time, or -1 if it is impossible to be on time. Tests are generated such that the answer will not exceed 107 and hour will have at most two digits after the decimal point. ","Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Medium,35.6,49620,17647,,459,76,"Given the speed the trains are traveling at, can you find the total time it takes for you to arrive? Is there a cutoff where any speeds larger will always allow you to arrive on time?","1335,2013,2294","Maximum Candies Allocated to K Children,Minimum Skips to Arrive at Meeting On Time,Minimum Time to Complete Trips"
Jump Game VII,jump-game-vii,2001,"You are given a 0-indexed binary string s and two integers minJump and maxJump. In the beginning, you are standing at index 0, which is equal to '0'. You can move from index i to index j if the following conditions are fulfilled: Return true if you can reach index s.length - 1 in s, or false otherwise. ","Two Pointers,String,Prefix Sum","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDY4",Medium,24.9,88800,22086,,826,50,"Consider for each reachable index i the interval [i + a, i + b]. Use partial sums to mark the intervals as reachable.","45,55,1428,1447,1466,1814,2001","Jump Game II,Jump Game,Jump Game III,Jump Game IV,Jump Game V,Jump Game VI,Jump Game VII"
Stone Game VIII,stone-game-viii,2002,"Alice and Bob take turns playing a game, with Alice starting first. There are n stones arranged in a row. On each player's turn, while the number of stones is more than one, they will do the following: The game stops when only one stone is left in the row. The score difference between Alice and Bob is (Alice's score - Bob's score). Alice's goal is to maximize the score difference, and Bob's goal is the minimize the score difference. Given an integer array stones of length n where stones[i] represents the value of the ith stone from the left, return the score difference between Alice and Bob if they both play optimally. ","Array,Math,Dynamic Programming,Prefix Sum,Game Theory","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDY4,VG9waWNUYWdOb2RlOjYxMDcz",Hard,52.4,10309,5403,,262,11,Let's note that the only thing that matters is how many stones were removed so we can maintain dp[numberOfRemovedStones] dp[x] = max(sum of all elements up to y - dp[y]) for all y > x,"909,1240,1522,1617,1685,1788,1808,2002,2156","Stone Game,Stone Game II,Stone Game III,Stone Game IV,Stone Game V,Stone Game VI,Stone Game VII,Stone Game VIII,Stone Game IX"
Calculate Special Bonus,calculate-special-bonus,2024,Table: Employees  Write an SQL query to calculate the bonus of each employee. The bonus of an employee is 100% of their salary if the ID of the employee is an odd number and the employee name does not start with the character 'M'. The bonus of an employee is 0 otherwise. Return the result table ordered by employee_id. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,90.2,15090,13617,,112,3,,,
Minimize Product Sum of Two Arrays,minimize-product-sum-of-two-arrays,2029,,"Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,91.4,12019,10982,,149,19,Is there a particular way we should order the arrays such that the product sum is minimized? Would you want to multiply two numbers that are closer to one another or further?,2282,Choose Numbers From Two Arrays in Range
Group Employees of the Same Salary,group-employees-of-the-same-salary,2030,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,75.7,6905,5226,,37,3,,,
Substrings of Size Three with Distinct Characters,substrings-of-size-three-with-distinct-characters,1987,"A string is good if there are no repeated characters. Given a string s​​​​​, return the number of good substrings of length three in s​​​​​​. Note that if there are multiple occurrences of the same substring, every occurrence should be counted. A substring is a contiguous sequence of characters in a string. ","Hash Table,String,Sliding Window,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDYy",Easy,69.7,57457,40059,,556,19,Try using a set to find out the number of distinct characters in a substring.,,
Minimize Maximum Pair Sum in Array,minimize-maximum-pair-sum-in-array,1988,"The pair sum of a pair (a,b) is equal to a + b. The maximum pair sum is the largest pair sum in a list of pairs. Given an array nums of even length n, pair up the elements of nums into n / 2 pairs such that: Return the minimized maximum pair sum after optimally pairing up the elements. ","Array,Two Pointers,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,80.6,58472,47157,,618,157,"Would sorting help find the optimal order? Given a specific element, how would you minimize its specific pairwise sum?",,
Get Biggest Three Rhombus Sums in a Grid,get-biggest-three-rhombus-sums-in-a-grid,1990,"You are given an m x n integer matrix grid​​​. A rhombus sum is the sum of the elements that form the border of a regular rhombus shape in grid​​​. The rhombus must have the shape of a square rotated 45 degrees with each of the corners centered in a grid cell. Below is an image of four valid rhombus shapes with the corresponding colored cells that should be included in each rhombus sum: Note that the rhombus can have an area of 0, which is depicted by the purple rhombus in the bottom right corner. Return the biggest three distinct rhombus sums in the grid in descending order. If there are less than three distinct values, return all of them. ","Array,Math,Sorting,Heap (Priority Queue),Matrix,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDY4",Medium,44.9,20013,8980,,124,342,You need to maintain only the biggest 3 distinct sums The limits are small enough for you to iterate over all rhombus sizes then iterate over all possible borders to get the sums,2193,Count Fertile Pyramids in a Land
Minimum XOR Sum of Two Arrays,minimum-xor-sum-of-two-arrays,1989,You are given two integer arrays nums1 and nums2 of length n. The XOR sum of the two integer arrays is (nums1[0] XOR nums2[0]) + (nums1[1] XOR nums2[1]) + ... + (nums1[n - 1] XOR nums2[n - 1]) (0-indexed). Rearrange the elements of nums2 such that the resulting XOR sum is minimized. Return the XOR sum after the rearrangement. ,"Array,Dynamic Programming,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Hard,42.2,18212,7684,,401,8,"Since n <= 14, we can consider every subset of nums2. We can represent every subset of nums2 using bitmasks.","2282,2291","Choose Numbers From Two Arrays in Range,Maximum AND Sum of Array"
Check if Word Equals Summation of Two Words,check-if-word-equals-summation-of-two-words,2010,"The letter value of a letter is its position in the alphabet starting from 0 (i.e. 'a' -> 0, 'b' -> 1, 'c' -> 2, etc.). The numerical value of some string of lowercase English letters s is the concatenation of the letter values of each letter in s, which is then converted into an integer. You are given three strings firstWord, secondWord, and targetWord, each consisting of lowercase English letters 'a' through 'j' inclusive. Return true if the summation of the numerical values of firstWord and secondWord equals the numerical value of targetWord, or false otherwise. ",String,VG9waWNUYWdOb2RlOjEw,Easy,73.2,53107,38861,,321,20,Convert each character of each word to its numerical value. Check if the numerical values satisfies the condition.,,
Maximum Value after Insertion,maximum-value-after-insertion,2011,"You are given a very large integer n, represented as a string,​​​​​​ and an integer digit x. The digits in n and the digit x are in the inclusive range [1, 9], and n may represent a negative number. You want to maximize n's numerical value by inserting x anywhere in the decimal representation of n​​​​​​. You cannot insert x to the left of the negative sign. Return a string representing the maximum value of n​​​​​​ after the insertion. ","String,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,35.8,49400,17697,,238,41,"Note that if the number is negative it's the same as positive but you look for the minimum instead. In the case of maximum, if s[i] < x it's optimal that x is put before s[i]. In the case of minimum, if s[i] > x it's optimal that x is put before s[i].",,
Process Tasks Using Servers,process-tasks-using-servers,2012,"You are given two 0-indexed integer arrays servers and tasks of lengths n​​​​​​ and m​​​​​​ respectively. servers[i] is the weight of the i​​​​​​th​​​​ server, and tasks[j] is the time needed to process the j​​​​​​th​​​​ task in seconds. Tasks are assigned to the servers using a task queue. Initially, all servers are free, and the queue is empty. At second j, the jth task is inserted into the queue (starting with the 0th task being inserted at second 0). As long as there are free servers and the queue is not empty, the task in the front of the queue will be assigned to a free server with the smallest weight, and in case of a tie, it is assigned to a free server with the smallest index. If there are no free servers and the queue is not empty, we wait until a server becomes free and immediately assign the next task. If multiple servers become free at the same time, then multiple tasks from the queue will be assigned in order of insertion following the weight and index priorities above. A server that is assigned task j at second t will be free again at second t + tasks[j]. Build an array ans​​​​ of length m, where ans[j] is the index of the server the j​​​​​​th task will be assigned to. Return the array ans​​​​. ","Array,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUw",Medium,37.4,44636,16674,,551,165,You can maintain a Heap of available Servers and a Heap of unavailable servers Note that the tasks will be processed in the input order so you just need to find the x-th server that will be available according to the rules,2176,Parallel Courses III
Minimum Skips to Arrive at Meeting On Time,minimum-skips-to-arrive-at-meeting-on-time,2013,"You are given an integer hoursBefore, the number of hours you have to travel to your meeting. To arrive at your meeting, you have to travel through n roads. The road lengths are given as an integer array dist of length n, where dist[i] describes the length of the ith road in kilometers. In addition, you are given an integer speed, which is the speed (in km/h) you will travel at. After you travel road i, you must rest and wait for the next integer hour before you can begin traveling on the next road. Note that you do not have to rest after traveling the last road because you are already at the meeting. However, you are allowed to skip some rests to be able to arrive on time, meaning you do not need to wait for the next integer hour. Note that this means you may finish traveling future roads at different hour marks. Return the minimum number of skips required to arrive at the meeting on time, or -1 if it is impossible. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,38.6,11818,4559,,210,39,Is there something you can keep track of from one road to another? How would knowing the start time for each state help us solve the problem?,"2000,2295","Minimum Speed to Arrive on Time,Minimum Time to Finish the Race"
Egg Drop With 2 Eggs and N Floors,egg-drop-with-2-eggs-and-n-floors,2031,"You are given two identical eggs and you have access to a building with n floors labeled from 1 to n. You know that there exists a floor f where 0 <= f <= n such that any egg dropped at a floor higher than f will break, and any egg dropped at or below floor f will not break. In each move, you may take an unbroken egg and drop it from any floor x (where 1 <= x <= n). If the egg breaks, you can no longer use it. However, if the egg does not break, you may reuse it in future moves. Return the minimum number of moves that you need to determine with certainty what the value of f is. ","Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,70.3,27756,19517,,694,61,Is it really optimal to always drop the egg on the middle floor for each move? Can we create states based on the number of unbroken eggs and floors to build our solution?,923,Super Egg Drop
Count Pairs in Two Arrays,count-pairs-in-two-arrays,2036,,"Array,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,57.9,3386,1960,,74,5,"We can write it as nums1[i] - nums2[i] > nums2[j] - nums1[j] instead of nums1[i] + nums1[j] > nums2[i] + nums2[j]. Store nums1[idx] - nums2[idx] in a data structure. Store nums2[idx] - nums1[idx] in a different data structure. For each integer in the first data structure, count the number of the strictly smaller integers in the second data structure with a larger index in the original array.","1622,2225","Max Value of Equation,Substrings That Begin and End With the Same Letter"
Determine Whether Matrix Can Be Obtained By Rotation,determine-whether-matrix-can-be-obtained-by-rotation,2015,"Given two n x n binary matrices mat and target, return true if it is possible to make mat equal to target by rotating mat in 90-degree increments, or false otherwise. ","Array,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz",Easy,55.2,52447,28970,,571,52,What is the maximum number of rotations you have to check? Is there a formula you can use to rotate a matrix 90 degrees?,48,Rotate Image
Reduction Operations to Make the Array Elements Equal,reduction-operations-to-make-the-array-elements-equal,2016,"Given an integer array nums, your goal is to make all elements in nums equal. To complete one operation, follow these steps: Return the number of operations to make all elements in nums equal. ","Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,61.5,26754,16464,,326,12,Sort the array. Try to reduce all elements with maximum value to the next maximum value in one operation.,,
Minimum Number of Flips to Make the Binary String Alternating,minimum-number-of-flips-to-make-the-binary-string-alternating,2017,You are given a binary string s. You are allowed to perform two types of operations on the string in any sequence: Return the minimum number of type-2 operations you need to perform such that s becomes alternating. The string is called alternating if no two adjacent characters are equal. ,"String,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,37.0,32001,11843,,628,19,Note what actually matters is how many 0s and 1s are in odd and even positions For every cyclic shift we need to count how many 0s and 1s are at each parity and convert the minimum between them for each parity,2289,Minimum Operations to Make the Array Alternating
Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,2018,"You have n packages that you are trying to place in boxes, one package in each box. There are m suppliers that each produce boxes of different sizes (with infinite supply). A package can be placed in a box if the size of the package is less than or equal to the size of the box. The package sizes are given as an integer array packages, where packages[i] is the size of the ith package. The suppliers are given as a 2D integer array boxes, where boxes[j] is an array of box sizes that the jth supplier produces. You want to choose a single supplier and use boxes from them such that the total wasted space is minimized. For each package in a box, we define the space wasted to be size of the box - size of the package. The total wasted space is the sum of the space wasted in all the boxes. Return the minimum total wasted space by choosing the box supplier optimally, or -1 if it is impossible to fit all the packages inside boxes. Since the answer may be large, return it modulo 109 + 7. ","Array,Binary Search,Sorting,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDY4",Hard,30.0,25170,7560,,239,27,"Given a fixed size box, is there a way to quickly query which packages (i.e., count and sizes) should end up in that box size? Do we have to order the boxes a certain way to allow us to answer the query quickly?",,
The Latest Login in 2020,the-latest-login-in-2020,2041,Table: Logins  Write an SQL query to report the latest login for all users in the year 2020. Do not include the users who did not login in 2020. Return the result table in any order. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,83.8,9989,8372,,47,0,,,
Cutting Ribbons,cutting-ribbons,2045,,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Medium,48.1,76097,36601,,362,23,Use binary search on the answer. You can get l/m branches of length m from a branch with length l.,"1056,2066","Capacity To Ship Packages Within D Days,Add Minimum Number of Rungs"
Page Recommendations II,page-recommendations-ii,2046,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,44.3,7958,3524,,48,13,,"1399,2097","Page Recommendations,Strong Friendship"
Check if All the Integers in a Range Are Covered,check-if-all-the-integers-in-a-range-are-covered,2005,"You are given a 2D integer array ranges and two integers left and right. Each ranges[i] = [starti, endi] represents an inclusive interval between starti and endi. Return true if each integer in the inclusive range [left, right] is covered by at least one interval in ranges. Return false otherwise. An integer x is covered by an interval ranges[i] = [starti, endi] if starti <= x <= endi. ","Array,Hash Table,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDY4",Easy,50.7,40622,20609,,252,56,"Iterate over every integer point in the range [left, right]. For each of these points check if it is included in one of the ranges.",,
Find the Student that Will Replace the Chalk,find-the-student-that-will-replace-the-chalk,2006,"There are n students in a class numbered from 0 to n - 1. The teacher will give each student a problem starting with the student number 0, then the student number 1, and so on until the teacher reaches the student number n - 1. After that, the teacher will restart the process, starting with the student number 0 again. You are given a 0-indexed integer array chalk and an integer k. There are initially k pieces of chalk. When the student number i is given a problem to solve, they will use chalk[i] pieces of chalk to solve that problem. However, if the current number of chalk pieces is strictly less than chalk[i], then the student number i will be asked to replace the chalk. Return the index of the student that will replace the chalk. ","Array,Binary Search,Simulation,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDU1,VG9waWNUYWdOb2RlOjYxMDY4",Medium,41.3,40798,16834,,248,36,Subtract the sum of chalk[i] from k until k is less than that sum Now just iterate over the array if chalk[i] is less thank k this is your answer otherwise this i is the answer,,
